id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
50502,"February 3, 2012 2:35:58 PM EST",2012-02-03,2012-02-04 08:35:58 +1300,Eastern Time (US & Canada),,3875,susanmccord,2012-02-04 08:38:58 +1300,2017-04-06 07:37:18 +1200,casual,,http://www.inaturalist.org/observations/50502,https://static.inaturalist.org/photos/80314/medium.jpg,"",Mmmmm... Beer,false,2,0,true,,"2207 Avent Ferry Rd, Raleigh, NC  27606-2133, , United States",35.777797699,-78.6774520874,10,,,,,,false,,,Human,Homo sapiens,Human,Mammalia,43584
97575,Sun Jun 24 2012 19:55:15 GMT-0400 (EDT),2012-06-24,2012-06-25 11:55:15 +1200,Eastern Time (US & Canada),,520,johnnybirder,2012-07-01 08:01:28 +1200,2017-04-06 07:37:18 +1200,research,CC-BY-NC,http://www.inaturalist.org/observations/97575,https://static.inaturalist.org/photos/141696/medium.jpg,"","",false,1,0,false,,"1009–1099 Blair Dr, Raleigh, North Carolina, US",35.768397,-78.667857,5,,,,,,false,,,Post oak,Quercus stellata,post oak,Plantae,119269
97578,Sun Jun 24 2012 19:56:28 GMT-0400 (EDT),2012-06-24,2012-06-25 11:56:28 +1200,Eastern Time (US & Canada),,520,johnnybirder,2012-07-01 08:01:30 +1200,2017-04-06 07:37:18 +1200,research,CC-BY-NC,http://www.inaturalist.org/observations/97578,https://static.inaturalist.org/photos/141699/medium.jpg,"","",false,2,0,false,,"1009–1099 Blair Dr, Raleigh, North Carolina, US",35.768381,-78.667862,5,,,,,,false,,,Callery pear (Pyrus calleryana),Pyrus calleryana,Callery pear,Plantae,119793
97579,Sun Jun 24 2012 19:57:28 GMT-0400 (EDT),2012-06-24,2012-06-25 11:57:28 +1200,Eastern Time (US & Canada),,520,johnnybirder,2012-07-01 08:01:31 +1200,2017-04-06 07:37:19 +1200,research,CC-BY-NC,http://www.inaturalist.org/observations/97579,https://static.inaturalist.org/photos/141701/medium.jpg,"","",false,1,0,false,,"1009–1099 Blair Dr, Raleigh, North Carolina, US",35.768513,-78.667791,5,,,,,,false,,,White oak,Quercus alba,white oak,Plantae,54779
188437,2012-08-27,2012-08-27,,Eastern Time (US & Canada),,12510,billreynolds,2013-01-30 08:20:51 +1300,2017-04-15 06:37:02 +1200,needs_id,,http://www.inaturalist.org/observations/188437,https://static.inaturalist.org/photos/242667/medium.JPG?1359487398,"","Molts of Tibicen auletes on White Oak
http://bugguide.net/node/view/6968

Photo Credits:
Pic #1 - Bill Reynolds
Pic #2 - Bill Reynolds
Pic #3 - Jesse Anderson
Pic #4 - Jesse Anderson
Pic #5 - Jesse Anderson

Pic's from an auletes site here in NC!  
We collected hundreds of casts from oaks and filled containers with molts picked up from the ground.

We also collected Sunday the 26th ~8:00 pm & again Monday evening the 27th; the numbers of auletes were unbelievable.  
Although auletes is a very common cicada locally - and across the South, I have never seen anything like the density and activity for auletes here off Lake Wheeler Rd.
 
Sunday evening, we arrived a little before 8:00 pm and the chorus was ear blasting.  We managed to catch only 2 with an extension net.  The following evening, my assistant, Evie, and I left the museum around 5:00pm and arrived shortly after.  She and I collected shells, dead specimens, and scanned the trees for adults, but we couldn't see nor did we hear any among the branches.  Approx. 7:30pm, Evie and I heard the occasional flutter of wings, squawk of a male and spotted a few move from tree to tree.  There was an occasional random short burst as though a male was gearing up to call, but then would fall silent ... seemed a bit strange. Most impressive was what followed!  As the last rays of sun shone through the upper most branches several steady buzzes began to be heard...then at 4:47 pm on Monday, 27 August - as the sun slipped below the horizon - a single male auletes started to call from an old growth post oak - within fractions of a second - the roar of ensuing calls moved from tree to tree in a wave.  I have observed this phenom among taxa within the pruinosus group, but never in auletes.  Then again, I have never seen auletes in these densities!  I managed to collect 5 specimens in 18 minutes of available light ... after which we could no longer pinpoint them in the dark - made collecting impossible; however, the males continued to call 30 to 40 minutes more - well after dark.
",true,0,0,false,,"Raleigh, Wake Co., North Carolina",35.7283491485,-78.6776554585,,,,,,,false,,,Tibicen auletes,Neotibicen auletes,Northern Dusk Singing Cicada,Insecta,469234
327740,2008-9-12,2008-09-12,,Eastern Time (US & Canada),,12796,scadwell,2013-07-11 13:08:49 +1200,2017-04-23 11:33:50 +1200,research,CC-BY-NC,http://www.inaturalist.org/observations/327740,https://static.inaturalist.org/photos/408135/medium.jpg?1444595936,animal,"",false,1,0,false,,"JC Raulston Arboretum, Raleigh, NC",35.793194,-78.699548,92,,,,,,false,,"",Junonia coenia,Junonia coenia,Common Buckeye,Insecta,48505
356958,2013-08-04 10:15:57,2013-08-04,2013-08-05 03:15:57 +1200,Central Time (US & Canada),,11015,aredoubles,2013-08-05 13:48:15 +1200,2017-04-15 06:37:03 +1200,research,CC-BY,http://www.inaturalist.org/observations/356958,https://static.inaturalist.org/photos/445351/medium.jpg?1444629021,"","",false,1,0,false,,"JC Raulston Arboretum, Raleigh, NC",35.794638,-78.699827,7,,,,,,false,,,Sachem,Atalopedes campestris,Sachem,Insecta,52075
403001,Thu Sep 19 2013 11:45:48 GMT-0400 (EDT),2013-09-19,2013-09-20 03:45:48 +1200,Eastern Time (US & Canada),,13518,milopyne,2013-09-20 22:17:53 +1200,2017-04-15 06:37:03 +1200,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/403001,https://farm4.staticflickr.com/3723/9862239266_7c797a7e03.jpg,"","",false,0,0,false,3,"27606, Raleigh, North Carolina, US",35.73155,-78.708689,5,,,,,,false,,,Carphephorus bellidifolius,Carphephorus bellidifolius,Sandywoods Chaffhead,Plantae,123820
403002,Thu Sep 19 2013 11:25:38 GMT-0400 (EDT),2013-09-19,2013-09-20 03:25:38 +1200,Eastern Time (US & Canada),,13518,milopyne,2013-09-20 22:17:53 +1200,2017-04-15 06:37:03 +1200,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/403002,https://static.inaturalist.org/photos/506265/medium.jpg?1444259175,"","",false,0,0,false,3,"27606, Raleigh, North Carolina, US",35.734075,-78.70601,10,,,,,,false,,,hollow Joe-Pye weed,Eutrochium fistulosum,Hollow Joe-Pye Weed,Plantae,132717
403003,Thu Sep 19 2013 12:15:02 GMT-0400 (EDT),2013-09-19,2013-09-20 04:15:02 +1200,Eastern Time (US & Canada),,13518,milopyne,2013-09-20 22:17:53 +1200,2017-04-15 06:37:03 +1200,research,CC-BY-NC,http://www.inaturalist.org/observations/403003,https://static.inaturalist.org/photos/506272/medium.jpg?1444259205,"","",false,1,0,false,3,"Wake County, US-NC, US",35.7237604306,-78.7982137464,5,,,,,,true,,,Longleaf Pine,Pinus palustris,Longleaf Pine,Plantae,81901
