year,overall_lecture_rating,student_instructor_ratio,overall_instructor_rating,proj_rating,lecture_proj_prep,material_relevance,relative_effort,overall_rating
2017.0,4,3,4,4,4,5,3,5
2017.0,4,2,4,4,4,4,3,4
2017.0,4,3,4,4,4,4,3,4
2017.0,4,3,4,4,3,3,3,4
2017.0,4,3,4,4,4,5,4,4
2017.0,4,2,5,4,4,4,2,5
2017.0,5,3,5,4,4,5,3,5
2017.0,5,3,5,4,4,5,5,5
2018.0,5,3,5,5,5,5,3,5
2018.0,5,5,5,5,5,5,5,5
2018.0,5,3,5,5,5,5,4,5
2018.0,4,3,5,4,4,5,3,5
2018.0,3,3,5,3,4,5,4,5
2018.0,5,3,5,3,4,5,4,5
2018.0,5,3,5,4,5,5,4,5
2018.0,5,3,5,5,4,5,3,5
2018.0,4,3,4,4,5,4,4,4
2018.0,4,3,4,5,4,5,3,5
2018.0,4,3,4,3,4,5,5,5
2018.0,5,2,5,4,4,5,5,5
2018.0,5,3,5,5,5,5,3,5
2018.0,4,3,4,4,3,3,2,4
